Result,Count
None,3291
PDF.Spam.Heur.1 (B),384
PDF.Spam.Heur.2 (B),19
Application.Generic.3032003 (B),1
Application.Generic.3033760 (B),1
Application.Generic.3034959 (B),1
Application.Generic.3039612 (B),1
Application.Generic.3042033 (B),1
Application.Generic.3042093 (B),1
Application.Generic.3042271 (B),1
Application.Generic.3046684 (B),1
Trojan.Generic.30404509 (B),1
Trojan.Generic.30423631 (B),1
Trojan.Generic.30425627 (B),1
Trojan.Generic.30439073 (B),1
Trojan.Generic.30440657 (B),1
Trojan.Generic.30451100 (B),1
Trojan.Generic.30477625 (B),1
Trojan.Generic.30594123 (B),1
Trojan.Generic.30614316 (B),1
Trojan.Generic.30635035 (B),1
Trojan.Generic.30653131 (B),1
Trojan.Generic.30659524 (B),1
Trojan.Generic.30665671 (B),1
Trojan.Generic.30676767 (B),1
Trojan.Generic.30687033 (B),1
Trojan.Generic.30690526 (B),1
Trojan.Generic.30692259 (B),1
Trojan.Generic.30695362 (B),1
Trojan.Generic.30705333 (B),1
Trojan.GenericKD.47024562 (B),1
Trojan.GenericKD.47279996 (B),1
Trojan.GenericKD.71814051 (B),1
Trojan.GenericKD.74002949 (B),1
