Result,Count
None,2761
Trojan.WIN32.stealer.phishing.e,316
Trojan.PDF.stealer.phishing.e,156
Trojan.WIN32.pdf.stealer.phishing.e,89
Trojan.WIN32.pdf.stealer.phish.hw,87
Trojan.W32.stealer.phishing.e,80
Trojan.WIN32.stealer.phish.hw,40
Trojan.trojan.WIN32.pdf.trojan.fakeauthent.a1,37
Trojan.W32.pdf.spam.heur.1,28
Trojan.Phishing.e,23
Trojan.stealer.phishing.e,23
Hoax.W32.PDF.Phish.gen,14
Trojan.WIN32.Phish.m,14
Hoax.Hoax.WIN32.PDF.Phish.gen,8
Trojan.WIN32.Generic.cf,6
Trojan.WIN32.pdf.spam.heur.1,6
Virus.W32.PDF.Phish.gen,6
Trojan.WIN32.Script.Generic,5
Trojan.WIN32.PDF.Alien.gen,3
Trojan.Pdf.Phishing.e,2
Trojan.Trojan.WIN32.Script.Generic2,2
Trojan.Trojan.Win32.Phishing12,2
Trojan.W32.Script.Generic,2
Trojan.W32.pdf.spam.heur.1_S08,2
Trojan.trojan.WIN32.Phish.m2,2
Trojan.trojan.WIN32.Phishing,2
Trojan.Trojan.WIN32.Generic.dx,1
Trojan.Trojan.Win32.Phishing14,1
Trojan.Trojan.Win32.Phishing17,1
Trojan.Trojan.Win32.Phishing18,1
Trojan.Trojan.Win32.Phishing19,1
Trojan.W32.pdf.stealer.phishing.e,1
Trojan.WIN32.pdf.spam.heur.3,1
Trojan.WIN32.pdf.trojan-stealer.phishing.e,1
Trojan.trojan.WIN32.pdf.trojan.fakeauthent.a,1
