Result,Count
BehavesLike.PDF.Suspicious.mb,1377
BehavesLike.PDF.Suspicious.lb,1016
None,506
BehavesLike.PDF.Suspicious.nb,252
BehavesLike.PDF.Suspicious.kb,187
BehavesLike.PDF.Suspicious.cb,97
BehavesLike.PDF.Obfuscated.pb,61
BehavesLike.PDF.BadFile.mb,28
BehavesLike.PDF.Obfuscated.nb,23
BehavesLike.PDF.BadFile.cb,16
BehavesLike.PDF.BadFile.lb,12
BehavesLike.PDF.BadFile.nb,12
BehavesLike.PDF.Obfuscated.mb,7
BehavesLike.PDF.Suspicious.qb,5
BehavesLike.PDF.BadFile.kb,4
BehavesLike.PDF.Obfuscated.lb,3
BehavesLike.PDF.BadFile.qb,2
BehavesLike.PDF.Suspicious.pb,2
BehavesLike.PDF.Trojan.lb,2
RDN/Generic.cf,2
Artemis,1
BehavesLike.PDF.BadFile.pb,1
BehavesLike.PDF.Obfuscated.cb,1
BehavesLike.PDF.Suspicious.db,1
BehavesLike.PDF.Trojan.cb,1
BehavesLike.PDF.Trojan.mb,1
BehavesLike.PDF.Trojan.nb,1
PDF/Phish-FOH!0DE76EB84D39,1
PDF/Phish-TWM!008BE6C8ED3D,1
PDF/Phish-TWM!00F501C76223,1
PDF/Phish-TWM!0125E0001370,1
PDF/Phish-TWM!017133EBD3D7,1
PDF/Phish-TWM!01CD9789AE72,1
PDF/Phish-TWM!025EDA530ED2,1
PDF/Phish-TWM!02C5103C58AD,1
PDF/Phish-TWM!02DDEA28DF5A,1
PDF/Phish-TWM!036A51D20180,1
PDF/Phish-TWM!03BA188B62C6,1
PDF/Phish-TWM!040247D572ED,1
PDF/Phish-TWM!040AB8527DB9,1
PDF/Phish-TWM!0419DE59C964,1
PDF/Phish-TWM!0452F775A3BD,1
PDF/Phish-TWM!04545CD96BE0,1
PDF/Phish-TWM!052ACDC36C43,1
PDF/Phish-TWM!0536390E4FE1,1
PDF/Phish-TWM!055D37E43C06,1
PDF/Phish-TWM!05D2375013AD,1
PDF/Phish-TWM!05D98EFA46C8,1
PDF/Phish-TWM!06235A191FC1,1
PDF/Phish-TWM!0630CF17D997,1
PDF/Phish-TWM!06404BB6E599,1
PDF/Phish-TWM!064425B95842,1
PDF/Phish-TWM!0650D2AC9C8C,1
PDF/Phish-TWM!0689F6B42388,1
PDF/Phish-TWM!07113F352702,1
PDF/Phish-TWM!071C2B402075,1
PDF/Phish-TWM!073B58C2E318,1
PDF/Phish-TWM!07BD9BC90AAE,1
PDF/Phish-TWM!07F8665AF5FD,1
PDF/Phish-TWM!0802B5C1DAE0,1
PDF/Phish-TWM!080CE08F250C,1
PDF/Phish-TWM!081F70BF71D0,1
PDF/Phish-TWM!08EF4DF7432E,1
PDF/Phish-TWM!0943AE9FC805,1
PDF/Phish-TWM!098E2CF6379F,1
PDF/Phish-TWM!09958FA05A3D,1
PDF/Phish-TWM!0ABEB5D55981,1
PDF/Phish-TWM!0ABF727D424B,1
PDF/Phish-TWM!0BE3038BD3AD,1
PDF/Phish-TWM!0C218962C9D7,1
PDF/Phish-TWM!0CDC6082E7DA,1
PDF/Phish-TWM!0DDCA0A7CB4F,1
PDF/Phish-TWM!0DF0B1D8FDB3,1
PDF/Phish-TWM!0E2117980C00,1
PDF/Phish-TWM!0F3EA8FA8737,1
PDF/Phish-TWM!0FE9E1EF75ED,1
PDF/Phish-TWM!100AEC719071,1
PDF/Phish-TWM!10197BC6DF7F,1
PDF/Phish-TWM!109B0647181C,1
PDF/Phish-TWM!10B5C4A03CAC,1
PDF/Phish-TWM!10EC16A7CFBE,1
PDF/Phish-TWM!11392E9401A6,1
PDF/Phish-TWM!11F1A39BED70,1
PDF/Phish-TWM!1287B0C658B8,1
PDF/Phish-TWM!129ECDAE27C5,1
PDF/Phish-TWM!12F02ABBEB82,1
PDF/Phish-TWM!1385FCF4AA03,1
PDF/Phish-TWM!13D6FF0FF592,1
PDF/Phish-TWM!146CE9BD42B8,1
PDF/Phish-TWM!149B7D976728,1
PDF/Phish-TWM!14BB28B2B2EA,1
