Result,Count
None,908
PDF.Phishing.43742,682
PDF.Phishing.43927,673
PDF.Phishing.44565,133
PDF.Phishing.45103,113
PDF.Phishing.44564,101
PDF.Phishing.43525,85
PDF.Phishing.45004,81
PDF.Phishing.43524,62
PDF.Phishing.43219,60
PDF.Phishing.44412,58
PDF.Phishing.44566,57
PDF.Phishing.44366,56
PDF.Phishing.43404,52
PDF.Phishing.44455,47
PDF.Phishing.44370,46
PDF.Phishing.44014,39
PDF.Phishing.44568,38
PDF.Phishing.43917,33
PDF.Phishing.44031,26
PDF.Phishing.44567,18
PDF.Trojan.45408,18
PDF.Phishing.44472,16
PDF.Phishing.42711,15
PDF.Phishing.44475,15
PDF.Phishing.43718,14
PDF.Phishing.43089,13
PDF.Phish.44449,11
PDF.Phishing.43540,11
PDF.Phishing.43651,11
PDF.Phishing.44409,11
PDF.Phishing.42709,10
PDF.Phishing.42741,9
PDF.Phishing.44365,9
PDF.Phishing.39978,8
PDF.Phishing.43056,8
PDF.Phishing.44452,8
PDF.Phishing.42816,7
PDF.Phishing.43217,7
PDF.Phishing.43678,6
PDF.Phishing.44376,6
PDF.Phishing.44410,6
PDF.Phish.44456,5
PDF.Phishing.42531,5
PDF.Phishing.43058,5
PDF.Phishing.43093,5
PDF.Phishing.43098,5
PDF.Phishing.43815,5
PDF.Phishing.44371,5
PDF.Phishing.44408,5
PDF.Phishing.44454,5
PDF.Phish.42843,4
PDF.Phishing.41855,4
PDF.Phishing.42530,4
PDF.Phishing.42567,4
PDF.Phishing.42817,4
PDF.Phishing.43102,4
PDF.Phishing.43628,4
PDF.Phishing.43669,4
PDF.Phishing.43671,4
PDF.Phishing.41571,3
PDF.Phishing.42742,3
PDF.Phishing.43223,3
PDF.Phishing.43675,3
PDF.Phishing.43875,3
PDF.Phishing.43907,3
PDF.Phishing.44372,3
PDF.Phishing.44706,3
PDF.Phish.38995,2
PDF.Phishing.39154,2
PDF.Phishing.40036,2
PDF.Phishing.41969,2
PDF.Phishing.42042,2
PDF.Phishing.42570,2
PDF.Phishing.42575,2
PDF.Phishing.42982,2
PDF.Phishing.43104,2
PDF.Phishing.43539,2
PDF.Phishing.43909,2
PDF.Phishing.40451,1
PDF.Phishing.40860,1
PDF.Phishing.40862,1
PDF.Phishing.40925,1
PDF.Phishing.40976,1
PDF.Phishing.42508,1
PDF.Phishing.43670,1
PDF.Phishing.43752,1
PDF.Phishing.43820,1
Pdf.Trojan.A3099636,1
Pdf.trojan.A2362270,1
