Result,Count
None,3127
Malware.Generic-HTML.Save.ma33,386
Malware.Generic-Script.Save.ma28,63
Phishing.Generic.PDF.Save.gxs,17
Malware.Generic-HTML.Save.dd03b4ce,10
Malware.Generic-Script.Save.ma31,7
Malware.Generic-PDF.Save.564c1d02,2
Phishing.Generic-PDF.Save.209d4707,2
Malware.Generic-HTML.Save.00153b09,1
Malware.Generic-HTML.Save.01e639eb,1
Malware.Generic-HTML.Save.0236774c,1
Malware.Generic-HTML.Save.067323dd,1
Malware.Generic-HTML.Save.09c173e0,1
Malware.Generic-HTML.Save.09c2277c,1
Malware.Generic-HTML.Save.09e91ebc,1
Malware.Generic-HTML.Save.0ab48497,1
Malware.Generic-HTML.Save.0b3496e5,1
Malware.Generic-HTML.Save.0e5893dd,1
Malware.Generic-HTML.Save.11863a50,1
Malware.Generic-HTML.Save.12d6d081,1
Malware.Generic-HTML.Save.1d5f068a,1
Malware.Generic-HTML.Save.1e126c20,1
Malware.Generic-HTML.Save.1f55738e,1
Malware.Generic-HTML.Save.1fb9ae20,1
Malware.Generic-HTML.Save.24bc2b8b,1
Malware.Generic-HTML.Save.275858a8,1
Malware.Generic-HTML.Save.2864847e,1
Malware.Generic-HTML.Save.29f7b2eb,1
Malware.Generic-HTML.Save.2dfd38e3,1
Malware.Generic-HTML.Save.30dffc91,1
Malware.Generic-HTML.Save.40368aad,1
Malware.Generic-HTML.Save.41f49150,1
Malware.Generic-HTML.Save.42ee7fa2,1
Malware.Generic-HTML.Save.438680c2,1
Malware.Generic-HTML.Save.447720e5,1
Malware.Generic-HTML.Save.4948eb9c,1
Malware.Generic-HTML.Save.50c5f1b5,1
Malware.Generic-HTML.Save.5157388c,1
Malware.Generic-HTML.Save.523eb05c,1
Malware.Generic-HTML.Save.56201048,1
Malware.Generic-HTML.Save.56388ba7,1
Malware.Generic-HTML.Save.574ba847,1
Malware.Generic-HTML.Save.576cc3fe,1
Malware.Generic-HTML.Save.57728adc,1
Malware.Generic-HTML.Save.57d1ac89,1
Malware.Generic-HTML.Save.5926571a,1
Malware.Generic-HTML.Save.5aac19f1,1
Malware.Generic-HTML.Save.5c3694f6,1
Malware.Generic-HTML.Save.5cac6888,1
Malware.Generic-HTML.Save.5fb41560,1
Malware.Generic-HTML.Save.627d817c,1
Malware.Generic-HTML.Save.6439496b,1
Malware.Generic-HTML.Save.65ac6e46,1
Malware.Generic-HTML.Save.665ad30a,1
Malware.Generic-HTML.Save.6687c6b4,1
Malware.Generic-HTML.Save.66aebf0e,1
Malware.Generic-HTML.Save.6880ab56,1
Malware.Generic-HTML.Save.68bda6a1,1
Malware.Generic-HTML.Save.6a086fa2,1
Malware.Generic-HTML.Save.6a80ecf1,1
Malware.Generic-HTML.Save.6b2b57eb,1
Malware.Generic-HTML.Save.70d20524,1
Malware.Generic-HTML.Save.73d5ec82,1
Malware.Generic-HTML.Save.77e1e1d6,1
Malware.Generic-HTML.Save.7dbc9868,1
Malware.Generic-HTML.Save.7ff4e199,1
Malware.Generic-HTML.Save.88ddeaeb,1
Malware.Generic-HTML.Save.8c0f5ed5,1
Malware.Generic-HTML.Save.8c7b9bc8,1
Malware.Generic-HTML.Save.8f785619,1
Malware.Generic-HTML.Save.966895ca,1
Malware.Generic-HTML.Save.99663b46,1
Malware.Generic-HTML.Save.9e5b7788,1
Malware.Generic-HTML.Save.9ed2170d,1
Malware.Generic-HTML.Save.a0273b90,1
Malware.Generic-HTML.Save.a0a5feba,1
Malware.Generic-HTML.Save.a3f2d41e,1
Malware.Generic-HTML.Save.a3f479f7,1
Malware.Generic-HTML.Save.a479b3f9,1
Malware.Generic-HTML.Save.a52c4b8c,1
Malware.Generic-HTML.Save.a698c651,1
Malware.Generic-HTML.Save.aa245e08,1
Malware.Generic-HTML.Save.ada0d878,1
Malware.Generic-HTML.Save.ae25c54d,1
Malware.Generic-HTML.Save.b0b28d35,1
Malware.Generic-HTML.Save.b0b38ed9,1
Malware.Generic-HTML.Save.b3a006b6,1
Malware.Generic-HTML.Save.b3b0dd94,1
Malware.Generic-HTML.Save.b57d224e,1
Malware.Generic-HTML.Save.b7fe0b06,1
Malware.Generic-HTML.Save.bb4202c0,1
Malware.Generic-HTML.Save.c096c82f,1
Malware.Generic-HTML.Save.c0d89a62,1
Malware.Generic-HTML.Save.c175f315,1
Malware.Generic-HTML.Save.c55234da,1
Malware.Generic-HTML.Save.c742f47c,1
Malware.Generic-HTML.Save.cefa9ee9,1
Malware.Generic-HTML.Save.d0563017,1
Malware.Generic-HTML.Save.d58e8b0d,1
Malware.Generic-HTML.Save.d99fdead,1
Malware.Generic-HTML.Save.da212cca,1
Malware.Generic-HTML.Save.da43aaa2,1
Malware.Generic-HTML.Save.da7a6155,1
Malware.Generic-HTML.Save.dd9bb24b,1
Malware.Generic-HTML.Save.e2851672,1
Malware.Generic-HTML.Save.e2a2232b,1
Malware.Generic-HTML.Save.e66c0283,1
Malware.Generic-HTML.Save.e8ba5d82,1
Malware.Generic-HTML.Save.ea0f4973,1
Malware.Generic-HTML.Save.ee5fcda7,1
Malware.Generic-HTML.Save.efb2ea09,1
Malware.Generic-HTML.Save.f441678f,1
Malware.Generic-HTML.Save.fa6420c8,1
Malware.Generic-HTML.Save.fbbac0cf,1
Malware.Generic-HTML.Save.fbf1141d,1
Malware.Generic-PDF.Save.2ed15251,1
Malware.Generic-Script.Save.ma30,1
Phishing.Generic-PDF.Save.6ba00801,1
Phishing.Generic-PDF.Save.u,1
