filename,ALYac,AVG,Acronis,Ad-Aware,AhnLab-V3,Antiy-AVL,Arcabit,Avast,Avira,Baidu,BitDefender,BitDefenderTheta,Bkav,CAT-QuickHeal,CMC,ClamAV,Comodo,Cylance,Cynet,Cyren,DrWeb,ESET-NOD32,Emsisoft,F-Secure,FireEye,Fortinet,GData,Gridinsoft,Ikarus,Jiangmin,K7AntiVirus,K7GW,Kaspersky,Kingsoft,Lionic,MAX,Malwarebytes,MaxSecure,McAfee,McAfee-GW-Edition,MicroWorld-eScan,Microsoft,NANO-Antivirus,Panda,Rising,SUPERAntiSpyware,Sangfor,SentinelOne,Sophos,Symantec,TACHYON,Tencent,TrendMicro,TrendMicro-HouseCall,VBA32,VIPRE,ViRobot,Yandex,Zillya,ZoneAlarm,Zoner
VirusShare_2134cbfb2cac963f13cbed3229ad9bb2.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOF!2134CBFB2CAC,BehavesLike.PDF.Suspicious.mb,,,,,Trojan.Phishing!1.D9C3 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_2134f409cec778ab39e535db54e3f865.json,,PDF:PhishingX-gen [Phish],,,,,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen,,,,,PDF.Phishing.44014,,,,,Malicious (score: 99),PDF/Rbloxphish.A.gen!Camelot,PDF.Phisher.296,PDF/Phishing.Agent.NFB,,,,PDF/Phishing.0931!tr,PDF.Trojan-Stealer.Phish.HW,,Trojan.PDF.Phishing,,,,HEUR:Trojan.PDF.Alien.gen,,,,,Trojan.WIN32.stealer.phish.hw,PDF/Phish-TWM!2134F409CEC7,PDF/Phish-TWM!2134F409CEC7,,,,,Trojan.Phishing/PDF!1.AD81 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_21352721578e85fac83d41ceb761461e.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.44376,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.A.Gen,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,,BehavesLike.PDF.Suspicious.lb,,,,,Trojan.Phishing!1.D9C3 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_21418bd2be303ca80e8c34f551703252.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.43742,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOF!21418BD2BE30,BehavesLike.PDF.Suspicious.mb,,,,,Trojan.Phishing/PDF!1.D56E (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_2141d95cd5ff92c4bf8310519fb179ca.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.43927,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOF!2141D95CD5FF,BehavesLike.PDF.BadFile.lb,,Trojan:Script/Sabsik.FL.B!ml,,,Trojan.Phishing/PDF!1.D56E (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_2144b50358c36d30e1c3faffcf32e0e9.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.151,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.44455,,,,,Malicious (score: 99),PDF/Phish.U.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOF!2144B50358C3,BehavesLike.PDF.Suspicious.lb,,Trojan:Script/Wacatac.B!ml,,,Trojan.Phishing!1.D9C3 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_2145c6d8ccad30fcad11e65ff763bb90.json,PDF.Spam.Heur.1,PDF:PhishingX-gen [Phish],,PDF.Spam.Heur.1,Phishing/PDF.Malurl.XG5,Trojan/Generic.ASMalwRG.151,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,PDF.Spam.Heur.1,,,PDF.Phishing.44565,,,,,Malicious (score: 99),PDF/Phish.U.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,PDF.Spam.Heur.1 (B),,PDF.Spam.Heur.1,PDF/Phishing.818B!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,malware (ai score=80),,Trojan.WIN32.pdf.stealer.phishing.e,PDF/Phish-FOH!2145C6D8CCAD,BehavesLike.PDF.Suspicious.lb,PDF.Spam.Heur.1,,,,Trojan.Phishing/PDF!1.D8B8 (CLASSIC),,,,,Trojan.Gen.NPE,,,,,,,PDF.Z.Agent.71815.DO,,,,
VirusShare_214cec5fd3f236d43ef3af3a94837e90.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.44365,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.A.Gen,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOH!214CEC5FD3F2,BehavesLike.PDF.Suspicious.nb,,,,,Trojan.Phishing!1.D9C3 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_214d169cf491ec41839f6915b23208f7.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.818B!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOH!214D169CF491,BehavesLike.PDF.Suspicious.mb,,,,,Trojan.Phishing/PDF!1.D8B8 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_215231846d9591f9da214921bc15ecd1.json,,,,,,Trojan/Generic.ASMalwRG.150,,,HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.43669,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.818B!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOF!215231846D95,BehavesLike.PDF.Suspicious.lb,,,,,Trojan.Phishing!1.D9C3 (CLASSIC),,,,,,,,,,,,,,,,
